time	value
0.000000000000000e+000	0.000000e+000
2.995931343840702e-004	1.884131e+000
5.991862687681405e-004	3.764289e+000
8.987794031522108e-004	5.640474e+000
1.198372537536281e-003	7.512687e+000
1.497965671920351e-003	9.380928e+000
1.797558806304422e-003	1.124520e+001
2.097151940688491e-003	1.310549e+001
4.194303881376982e-003	2.578778e+001
8.388607762753964e-003	4.886654e+001
1.482833359504840e-002	7.873242e+001
1.802093854062745e-002	8.989745e+001
2.029499093958351e-002	9.530251e+001
2.197822129640503e-002	9.792318e+001
2.369477446141748e-002	9.927248e+001
2.601395288901942e-002	9.930974e+001
2.815060740122954e-002	9.733639e+001
3.161728853685170e-002	8.979290e+001
3.715629251259155e-002	6.914559e+001
4.557301815085902e-002	2.548865e+001
5.668865363647126e-002	-3.875459e+001
6.282988229396218e-002	-7.057748e+001
6.666257700713814e-002	-8.573718e+001
6.931311222658529e-002	-9.321365e+001
7.124605274436169e-002	-9.694415e+001
7.279815137350264e-002	-9.879073e+001
7.447185809345103e-002	-9.964280e+001
7.630363854031955e-002	-9.924799e+001
7.862182317473733e-002	-9.659341e+001
8.237789129169970e-002	-8.752952e+001
8.834930250109106e-002	-6.362690e+001
9.728746088574966e-002	-1.569871e+001
1.073489356340042e-001	4.246496e+001
1.132191381902951e-001	7.232692e+001
1.169228892321033e-001	8.658669e+001
1.194997291265997e-001	9.363961e+001
1.213846246095477e-001	9.714423e+001
1.229705434266871e-001	9.894927e+001
1.245102939651351e-001	9.967831e+001
1.263179367931298e-001	9.924456e+001
1.286450748327278e-001	9.655436e+001
1.324153733302157e-001	8.741273e+001
1.384078373235976e-001	6.334839e+001
1.473705275392681e-001	1.521922e+001
1.574020601528682e-001	-4.275862e+001
1.632506595397826e-001	-7.246669e+001
1.669440608369717e-001	-8.665470e+001
1.695149403508786e-001	-9.367374e+001
1.713959322725189e-001	-9.716025e+001
1.729846060391246e-001	-9.896174e+001
1.745134315445538e-001	-9.968115e+001
1.763191039004202e-001	-9.924428e+001
1.786469727401116e-001	-9.655116e+001
1.824184325732864e-001	-8.740318e+001
1.884126137736644e-001	-6.332563e+001
1.973773013401791e-001	-1.518010e+001
2.074063836348674e-001	4.278251e+001
2.132532262475738e-001	7.247807e+001
2.169457853940439e-001	8.666023e+001
2.195161796176544e-001	9.367651e+001
2.213968535968793e-001	9.716154e+001
2.229857517992198e-001	9.896275e+001
2.245136871977005e-001	9.968138e+001
2.263191989969791e-001	9.924426e+001
2.286471273824772e-001	9.655090e+001
2.324186818403944e-001	8.740240e+001
2.384130029514735e-001	6.332378e+001
2.473778532294452e-001	1.517691e+001
2.574067358296057e-001	-4.278446e+001
2.632534353430532e-001	-7.247899e+001
2.669459258881711e-001	-8.666068e+001
2.695162805781934e-001	-9.367673e+001
2.713969286558471e-001	-9.716165e+001
2.729858451424332e-001	-9.896283e+001
2.745137080254604e-001	-9.968140e+001
2.763192067443799e-001	-9.924426e+001
2.786471399810011e-001	-9.655088e+001
2.824187021478705e-001	-8.740234e+001
2.884130346572490e-001	-6.332362e+001
2.973778981909005e-001	-1.517665e+001
3.074067645219180e-001	4.278461e+001
3.132534523775332e-001	7.247906e+001
3.169459373338989e-001	8.666072e+001
3.195162888032220e-001	9.367675e+001
3.213969347707364e-001	9.716166e+001
3.229858527468985e-001	9.896284e+001
3.245137097222527e-001	9.968140e+001
3.263192073755438e-001	9.924426e+001
3.286471410073755e-001	9.655088e+001
3.324187038022764e-001	8.740234e+001
3.384130372402492e-001	6.332362e+001
3.473779018538106e-001	1.517663e+001
3.574067668594146e-001	-4.278463e+001
